sequence_id,district,forecast_origin,wsi_at_origin,residual_t1,residual_t2,residual_t3,split
666,Dharashiv,2018-06-01,-0.9289049018925274,0.17195690766034966,0.3908003081387127,1.7868124355381574,val
667,Dharashiv,2018-07-01,-0.7569480095764026,0.21884341582258793,1.6148555432220326,2.1508594904800282,val
668,Dharashiv,2018-08-01,-0.538104602500774,1.3960121361464037,1.9320160834043993,1.8284069983213915,val
669,Dharashiv,2018-09-01,0.8579075057142912,0.5360039751893343,0.4323948901063265,0.04521217755139484,val
670,Dharashiv,2018-10-01,1.3939114386763465,-0.1036090428557288,-0.49079175541066045,-0.5775864298071753,val
671,Dharashiv,2018-11-01,1.2903023923153782,-0.3871827090496922,-0.4739773834462071,-0.5205004180188084,val
672,Dharashiv,2018-12-01,0.9031197042158844,-0.08679469534671325,-0.13331772991931456,-0.30983849474704284,val
673,Dharashiv,2019-01-01,0.816325002904429,-0.046523028607859174,-0.22304379343558745,-0.45962598323394255,val
674,Dharashiv,2019-02-01,0.7698019487240236,-0.17652073925518208,-0.4131029290535372,-0.32714227264904194,val
675,Dharashiv,2019-03-01,0.5932812353832532,-0.23658221571276672,-0.15062155930827148,-0.1884138843281079,val
676,Dharashiv,2019-04-01,0.3566990079911021,0.08596066808387959,0.04816834306404316,0.46492902612373554,val
677,Dharashiv,2019-05-01,0.4426596787707478,-0.037792327715602536,0.37896835534408985,-0.50543854655191,val
678,Dharashiv,2019-06-01,0.4048673607180834,0.41676067339675427,-0.46764622849924564,-0.37540778738958835,val
679,Dharashiv,2019-07-01,0.8216280262276167,-0.8844068940087789,-0.7921684528991216,-1.3878450910850995,val
680,Dharashiv,2019-08-01,-0.0627788668097415,0.09223844013823652,-0.5034381980477414,-0.6713435287057004,val
681,Dharashiv,2019-09-01,0.0294595734523721,-0.5956766383098551,-0.763581968967814,-0.40049431485404446,val
682,Dharashiv,2019-10-01,-0.5662170787484979,-0.16790531676694398,0.19518233734682555,-0.16460614007398133,val
683,Dharashiv,2019-11-01,-0.734122383487827,0.3630876420861546,0.0032991646653477424,-0.009405505763881994,val
684,Dharashiv,2019-12-01,-0.3710347334126854,-0.35978848540979386,-0.3724931558390236,0.02182533538145065,val
685,Dharashiv,2020-01-01,-0.7308232463060338,-0.012704642945675193,0.38161384827479905,0.3912611580549199,val
686,Dharashiv,2020-02-01,-0.7435278611515869,0.3943184631203521,0.403965772900473,0.530888693246733,val
687,Dharashiv,2020-03-01,-0.3492093913525365,0.009647303101422589,0.13657022344768266,-0.10376975608169814,val
688,Dharashiv,2020-04-01,-0.3395620943960387,0.12692292649118486,-0.11341705303819594,-0.6610055802408021,val
689,Dharashiv,2020-05-01,-0.2126391701700921,-0.24033997726414252,-0.7879285044667488,-1.0205591149327522,val
690,Dharashiv,2020-06-01,-0.4529791559463635,-0.5475885186904773,-0.7802191291564807,0.08337751882134825,val
691,Dharashiv,2020-07-01,-1.0005676582633385,-0.23263062683950575,0.6309660211383232,-0.13000609127889784,val
692,Dharashiv,2020-08-01,-1.2331983379118798,0.8635967007868646,0.1026245883696435,0.032846145986831,val
693,Dharashiv,2020-09-01,-0.3696016304534196,-0.7609721190888168,-0.8307505614716293,-0.6612661845642807,val
694,Dharashiv,2020-10-01,-1.130573778870935,-0.06977841305411392,0.09970596385323471,0.35185977769219345,val
695,Dharashiv,2020-11-01,-1.2003521366119292,0.169484321594229,0.42163813543318773,0.2749847812652495,val
696,Dharashiv,2020-12-01,-1.0308678158108098,0.2521538146320683,0.10550046046413009,0.5475694247070653,val
697,Dharashiv,2021-01-01,-0.7787139758168706,-0.14665337952980906,0.2954155847131261,-0.00821062478432566,test
698,Dharashiv,2021-02-01,-0.9253673610676116,0.44206896996386713,0.13844276046641535,-0.11257504844776922,test
699,Dharashiv,2021-03-01,-0.4832984030110939,-0.3036261975901024,-0.554644006504287,-0.6287381827967065,test
700,Dharashiv,2021-04-01,-0.7869246235151421,-0.2510177860002387,-0.32511196229265815,-0.23838076684282905,test
701,Dharashiv,2021-05-01,-1.03794246303143,-0.07409412277637029,0.012637072673458816,0.24699341641964412,test
702,Dharashiv,2021-06-01,-1.1120366324324926,0.08673124207452143,0.32108758582070673,0.10391824139550532,test
703,Dharashiv,2021-07-01,-1.0253054087363636,0.23435636212457767,0.01718701769937625,-0.08180640290151486,test
704,Dharashiv,2021-08-01,-0.7909490506259099,-0.21716934041107738,-0.3161627610119685,-0.3792057593258723,test
705,Dharashiv,2021-09-01,-1.0081183381064298,-0.0989934735314486,-0.16203647184535241,-0.33570032644435144,test
706,Dharashiv,2021-10-01,-1.1071117623995572,-0.063043047552225,-0.23670690215122403,-0.2079632774640292,test
707,Dharashiv,2021-11-01,-1.1701548394658037,-0.17366382508497757,-0.14492020039778275,0.11082115740556198,test
708,Dharashiv,2021-12-01,-1.3438186690606206,0.028743629197034215,0.28448498700037894,0.6650655910767644,test
709,Dharashiv,2022-01-01,-1.3150750564124738,0.2557413743522321,0.6363219784286176,0.3040468858268415,test
710,Dharashiv,2022-02-01,-1.059333674738412,0.3805805967545557,0.048305504152779566,0.19450890285730837,test
711,Dharashiv,2022-03-01,-0.6787530773548515,-0.33227509323078086,-0.18607169452625205,0.004526674118462304,test
712,Dharashiv,2022-04-01,-1.0110281653412898,0.1462033934601863,0.33680176210490065,-0.7076007180205266,test
713,Dharashiv,2022-05-01,-0.8648247570310227,0.19059835379463352,-0.8538041263307937,-1.0358946471895583,test
714,Dharashiv,2022-06-01,-0.6742264040606254,-1.044402479301191,-1.2264930001599557,-0.6524884692532784,test
715,Dharashiv,2022-07-01,-1.7186289355498958,-0.18209046867068523,0.391914062235992,0.36117284748379475,test
716,Dharashiv,2022-08-01,-1.900719393049452,0.5740045197355481,0.5432633049833508,0.8427419550764295,test
717,Dharashiv,2022-09-01,-1.3267148696573374,-0.03074121840876365,0.26873743168431496,0.350518699804127,test
718,Dharashiv,2022-10-01,-1.3574560748318547,0.29947863685883225,0.38125990497864426,0.20064436065949143,test
719,Dharashiv,2022-11-01,-1.0579774455339714,0.08178127568076099,-0.09883426863839184,-0.005296818801660885,test
720,Dharashiv,2022-12-01,-0.9761961994813708,-0.18061551469099246,-0.0870780648542615,-0.18398854153883182,test
721,Dharashiv,2023-01-01,-1.156811771472393,0.09353750713676057,-0.0033729695478097454,-0.038266720692218925,test
722,Dharashiv,2023-02-01,-1.063274230887395,-0.0969105101328076,-0.13180426127721678,0.3848465346593677,test
723,Dharashiv,2023-03-01,-1.160184776329757,-0.03489371583485479,0.4817570801017297,1.1907554733691228,test
724,Dharashiv,2023-04-01,-1.195078508872767,0.5166508126447396,1.2256492059121327,0.399466114063044,test
725,Dharashiv,2023-05-01,-0.6784276670048883,0.7089983640442541,-0.11718472780483458,0.22717499790889528,test
726,Dharashiv,2023-06-01,0.0305706971707453,-0.8261830919804682,-0.48182336626673833,-0.15488459555531636,test
727,Dharashiv,2023-07-01,-0.7956123848008189,0.3443597157048258,0.6712984864162478,1.2800178129719768,test
728,Dharashiv,2023-08-01,-0.451252673667523,0.3269387752829519,0.9356581018386808,0.49022686193570764,test
729,Dharashiv,2023-09-01,-0.1243139010292027,0.6087193292003605,0.16328808929738736,-0.019259204306032895,test
730,Dharashiv,2023-10-01,0.484405415154276,-0.4454312268860913,-0.6279785204895116,-1.1064227391250707,test
731,Dharashiv,2023-11-01,0.038974186754922,-0.1825472920901576,-0.6609915107257167,-0.5593275040156642,test
732,Dharashiv,2023-12-01,-0.143573098835013,-0.47844422513578166,-0.3767802184257292,0.07308279072906743,test
733,Dharashiv,2024-01-01,-0.6220173433694574,0.10166402610871517,0.5515270352635118,0.18942951115700923,test
734,Dharashiv,2024-02-01,-0.5203533018999648,0.4498629937940192,0.08776546968751664,-0.06787885771459823,test
735,Dharashiv,2024-03-01,-0.0704903083525281,-0.36209752385992,-0.5177418512620349,-1.2001016659058947,test
736,Dharashiv,2024-04-01,-0.4325878313384444,-0.15564432827611857,-0.8380041429199785,-1.658977300802669,test
737,Dharashiv,2024-05-01,-0.5882321779153554,-0.6823597963430674,-1.5033329542257579,-1.067186575708607,test
738,Dharashiv,2024-06-01,-1.2705919656473168,-0.8209731664937965,-0.3848267879766456,0.43739949795780264,test
739,Dharashiv,2024-07-01,-2.09156510992084,0.4361463562968777,1.258372642231326,1.198408223820071,test
740,Dharashiv,2024-08-01,-1.6554188032217396,0.8222263355322255,0.7622619171209706,0.7970432539053334,test
741,Dharashiv,2024-09-01,-0.8331924624022093,-0.0599644236985597,-0.025183086914196906,-0.23085248999036878,test
742,Hingoli,2003-12-01,0.4195623219473661,-0.16623882655933508,-0.1356754124625028,-0.1533899426920713,train
743,Hingoli,2004-01-01,0.2533234809742802,0.03056342851058308,0.012848898281014598,-0.02624380637272533,train
744,Hingoli,2004-02-01,0.2838869078566133,-0.017714528601318502,-0.05680723325505843,-0.7855386121679842,train
745,Hingoli,2004-03-01,0.266172370641566,-0.03909269604001114,-0.7678240749529368,-0.5174223098448283,train
746,Hingoli,2004-04-01,0.2270796737540751,-0.728731378065446,-0.47832961295733745,0.4923806347977132,train
747,Hingoli,2004-05-01,-0.5016517112661347,0.2504017720628724,1.221112019817923,1.2164843151975617,train
748,Hingoli,2004-06-01,-0.2512499496483627,0.970710258200151,0.9660825535797897,1.2775879308724227,train
749,Hingoli,2004-07-01,0.7194603371928127,-0.004627733261385658,0.3068776440312474,0.620946080653867,train
